,threshold,precision,recall,f1
0,0.0037314398769267725,1.0,0.0,0.0
1,0.004266286381431877,1.0,0.0,0.0
2,0.005010346529285939,1.0,0.0,0.0
3,0.005269166778010115,1.0,0.0,0.0
4,0.006736584934695521,1.0,0.0,0.0
5,0.006814032397644962,1.0,0.0,0.0
6,0.007114215975936814,1.0,0.0,0.0
7,0.007193056449584911,1.0,0.0,0.0
8,0.007238050728196225,1.0,0.0,0.0
9,0.007276539126483661,1.0,0.0,0.0
10,0.007551483937589864,1.0,0.0,0.0
11,0.00814757954746423,1.0,0.0,0.0
12,0.009853845943400143,1.0,0.0,0.0
13,0.010152646989367829,1.0,0.0,0.0
14,0.011139946188097556,1.0,0.0,0.0
15,0.011972372730543667,1.0,0.0,0.0
16,0.012580148574339539,1.0,0.0,0.0
17,0.01259412409880372,1.0,0.0,0.0
18,0.012674249786883996,1.0,0.0,0.0
19,0.012864201374395099,1.0,0.0,0.0
20,0.012922507941285275,1.0,0.0,0.0
21,0.014362628600816654,1.0,0.0,0.0
22,0.01462754713218465,1.0,0.0,0.0
23,0.01526122967898457,1.0,0.0,0.0
24,0.015402241539854342,1.0,0.0,0.0
25,0.015509274533470794,1.0,0.0,0.0
26,0.016013500243740406,1.0,0.0,0.0
27,0.016166945685555004,1.0,0.0,0.0
28,0.01661690269025928,1.0,0.0,0.0
29,0.01669738143982602,1.0,0.0,0.0
30,0.016843935911582966,1.0,0.0,0.0
31,0.017266053329198963,1.0,0.0,0.0
32,0.017367651824915013,1.0,0.0,0.0
33,0.018178556613314877,1.0,0.0,0.0
34,0.01841989948304512,1.0,0.0,0.0
35,0.019220721115778824,1.0,0.0,0.0
36,0.019522356689750137,1.0,0.0,0.0
37,0.01953059861580729,1.0,0.0,0.0
38,0.020197303550901196,1.0,0.0,0.0
39,0.020662002378226747,1.0,0.0,0.0
40,0.02134507448444483,1.0,0.0,0.0
41,0.021574675633953412,1.0,0.0,0.0
42,0.021770333852082043,1.0,0.0,0.0
43,0.022382053930680677,1.0,0.0,0.0
44,0.02312539711545897,1.0,0.0,0.0
45,0.023569911937125432,1.0,0.0,0.0
46,0.02363507496289812,1.0,0.0,0.0
47,0.02381402144965064,1.0,0.0,0.0
48,0.024044030647322454,1.0,0.0,0.0
49,0.024083722613295788,1.0,0.0,0.0
50,0.02468646944424037,1.0,0.0,0.0
51,0.024956260983504897,1.0,0.0,0.0
52,0.026354222725084076,1.0,0.0,0.0
53,0.02647660192447566,1.0,0.0,0.0
54,0.02659187523764178,1.0,0.0,0.0
55,0.026638163733118194,1.0,0.0,0.0
