,model,cm,accuracy,precision,recall,f1,roc_auc,pr_auc
3,Gradient Boosting,"[[689, 87], [127, 154]]",0.7975402081362346,0.6390041493775933,0.5480427046263345,0.5900383141762452,0.8663623105991121,0.6808793243416525
4,XGBoost,"[[687, 89], [130, 151]]",0.7928098391674551,0.6291666666666667,0.5373665480427047,0.5796545105566219,0.8634043548446271,0.6757664291408662
2,Random Forest,"[[591, 185], [61, 220]]",0.7672658467360454,0.5432098765432098,0.7829181494661922,0.641399416909621,0.8619437208790403,0.6742309966850667
0,Logistic Regression,"[[572, 204], [50, 231]]",0.759697256385998,0.5310344827586206,0.8220640569395018,0.6452513966480447,0.8591072935392743,0.6580334975773454
1,Decision Tree,"[[575, 201], [62, 219]]",0.7511825922421949,0.5214285714285715,0.7793594306049823,0.6248216833095578,0.8248637964559563,0.5903825114106835
