,fp rate,tp rate,threshold
0,0.0,0.0,inf
1,0.0,0.0035587188612099642,0.9534978967722707
2,0.0,0.021352313167259787,0.935232561438581
3,0.001288659793814433,0.021352313167259787,0.9308716530464933
4,0.001288659793814433,0.12455516014234876,0.8919975971905688
5,0.002577319587628866,0.12455516014234876,0.8908428764122144
6,0.002577319587628866,0.15302491103202848,0.8815400225591548
7,0.003865979381443299,0.15302491103202848,0.8809173041503909
8,0.003865979381443299,0.18505338078291814,0.8690829438481346
9,0.005154639175257732,0.18505338078291814,0.8680626905476255
10,0.005154639175257732,0.19572953736654805,0.8655831561065095
11,0.006443298969072165,0.19572953736654805,0.864524305883606
12,0.006443298969072165,0.199288256227758,0.8636944776553379
13,0.007731958762886598,0.199288256227758,0.863332126723902
14,0.007731958762886598,0.20284697508896798,0.8621900238550952
15,0.00902061855670103,0.20284697508896798,0.8621135365441165
16,0.00902061855670103,0.20640569395017794,0.8597820910955253
17,0.011597938144329897,0.20640569395017794,0.8569122801339957
18,0.011597938144329897,0.23487544483985764,0.8485966515321754
19,0.01288659793814433,0.23487544483985764,0.8481765285945032
20,0.01288659793814433,0.24199288256227758,0.8460755960628434
21,0.015463917525773196,0.24199288256227758,0.8409278808949463
22,0.015463917525773196,0.25622775800711745,0.8380191019178264
23,0.019329896907216496,0.25622775800711745,0.8340424695688325
24,0.019329896907216496,0.2669039145907473,0.833065868841046
25,0.020618556701030927,0.2669039145907473,0.8294290805329902
26,0.020618556701030927,0.3167259786476868,0.8168978820138263
27,0.02190721649484536,0.3167259786476868,0.8168740960698763
28,0.02190721649484536,0.3238434163701068,0.8154245538135373
29,0.023195876288659795,0.3238434163701068,0.8148963227164429
30,0.023195876288659795,0.33451957295373663,0.8132231725756597
31,0.024484536082474227,0.33451957295373663,0.8118463981678571
32,0.024484536082474227,0.34519572953736655,0.8082174347837742
33,0.029639175257731958,0.34519572953736655,0.8051861960954356
34,0.029639175257731958,0.3736654804270463,0.7995179981871484
35,0.030927835051546393,0.3736654804270463,0.7984512395025231
36,0.030927835051546393,0.37722419928825623,0.7950109975639741
37,0.037371134020618556,0.37722419928825623,0.7882744289881225
38,0.037371134020618556,0.398576512455516,0.7812945414628567
39,0.03865979381443299,0.398576512455516,0.7800504315235419
40,0.03865979381443299,0.40213523131672596,0.7794496173837987
41,0.03994845360824742,0.40213523131672596,0.7756191101632705
