,fp rate,tp rate,threshold
0,0.0,0.0,inf
1,0.04381443298969072,0.3096085409252669,0.8685005207825944
2,0.059278350515463915,0.37722419928825623,0.8306129166284467
3,0.09149484536082474,0.42704626334519574,0.7792796213329292
4,0.1172680412371134,0.498220640569395,0.7365646484634706
5,0.16881443298969073,0.6156583629893239,0.7241421347520144
6,0.18556701030927836,0.6405693950177936,0.7216315589284752
7,0.18943298969072164,0.6548042704626335,0.7035742035742036
8,0.22293814432989692,0.7366548042704626,0.6199003059281614
9,0.2268041237113402,0.7473309608540926,0.5930704741943941
10,0.24355670103092783,0.7722419928825622,0.5735603703634714
11,0.2551546391752577,0.7722419928825622,0.5658048894790283
12,0.25902061855670105,0.7793594306049823,0.5200536039054274
13,0.2770618556701031,0.7829181494661922,0.44406846157618585
14,0.3015463917525773,0.797153024911032,0.43026847232121707
15,0.32989690721649484,0.8185053380782918,0.4152146001467361
16,0.3788659793814433,0.8612099644128114,0.344748469576893
17,0.38273195876288657,0.8683274021352313,0.3308729491723609
18,0.39304123711340205,0.8718861209964412,0.31578029642545774
19,0.49742268041237114,0.9074733096085409,0.26552843955989064
20,0.5154639175257731,0.9181494661921709,0.2620005208182638
21,0.5966494845360825,0.9608540925266904,0.22843596269282448
22,0.6494845360824743,0.9786476868327402,0.22408635334706622
23,0.6688144329896907,0.9822064056939501,0.1801739061225305
24,0.7126288659793815,0.9857651245551602,0.14642118758590456
25,0.7371134020618557,0.99644128113879,0.14247502163480483
26,0.75,0.99644128113879,0.09460871382300705
27,0.7822164948453608,0.99644128113879,0.07021829320305552
28,1.0,1.0,0.0
