,fp rate,tp rate,threshold
0,0.0,0.0,inf
1,0.0,0.0035587188612099642,0.9068098068237305
2,0.0,0.010676156583629894,0.8728723526000977
3,0.0,0.017793594306049824,0.8711656928062439
4,0.0,0.021352313167259787,0.8698931336402893
5,0.001288659793814433,0.02491103202846975,0.8633561134338379
6,0.001288659793814433,0.05338078291814947,0.8339783549308777
7,0.002577319587628866,0.05338078291814947,0.8334188461303711
8,0.002577319587628866,0.06761565836298933,0.8201884031295776
9,0.002577319587628866,0.07473309608540925,0.8186360597610474
10,0.003865979381443299,0.07473309608540925,0.8124263286590576
11,0.003865979381443299,0.08185053380782918,0.8115758895874023
12,0.003865979381443299,0.08540925266903915,0.807229220867157
13,0.003865979381443299,0.099644128113879,0.8023321628570557
14,0.003865979381443299,0.14590747330960854,0.7662439942359924
15,0.005154639175257732,0.14590747330960854,0.7655632495880127
16,0.005154639175257732,0.15302491103202848,0.7637991309165955
17,0.006443298969072165,0.15302491103202848,0.7629392147064209
18,0.006443298969072165,0.17793594306049823,0.7481675148010254
19,0.007731958762886598,0.17793594306049823,0.746469259262085
20,0.007731958762886598,0.19572953736654805,0.7353198528289795
21,0.010309278350515464,0.19572953736654805,0.7302834391593933
22,0.010309278350515464,0.20640569395017794,0.723295271396637
23,0.011597938144329897,0.20640569395017794,0.7221682071685791
24,0.011597938144329897,0.21352313167259787,0.7209632396697998
25,0.014175257731958763,0.21352313167259787,0.7200781106948853
26,0.014175257731958763,0.2277580071174377,0.7075604200363159
27,0.01675257731958763,0.2277580071174377,0.6957265138626099
28,0.019329896907216496,0.2313167259786477,0.691754162311554
29,0.019329896907216496,0.2491103202846975,0.6850541234016418
30,0.02190721649484536,0.2491103202846975,0.684231698513031
31,0.02190721649484536,0.2704626334519573,0.679085910320282
32,0.023195876288659795,0.2704626334519573,0.6787099838256836
33,0.023195876288659795,0.27402135231316727,0.6745566129684448
34,0.024484536082474227,0.27402135231316727,0.6733635067939758
35,0.024484536082474227,0.302491103202847,0.6667872667312622
36,0.02577319587628866,0.302491103202847,0.6582390666007996
37,0.02577319587628866,0.30604982206405695,0.6547338962554932
38,0.028350515463917526,0.30604982206405695,0.6535420417785645
39,0.028350515463917526,0.31316725978647686,0.6507204174995422
40,0.029639175257731958,0.31316725978647686,0.6490355134010315
41,0.029639175257731958,0.3167259786476868,0.6487351655960083
42,0.03479381443298969,0.3167259786476868,0.6462186574935913
43,0.03479381443298969,0.3202846975088968,0.645684540271759
44,0.03608247422680412,0.3202846975088968,0.6442980170249939
45,0.03608247422680412,0.3309608540925267,0.6384779214859009
46,0.037371134020618556,0.3309608540925267,0.6378992199897766
47,0.037371134020618556,0.34519572953736655,0.6300510168075562
48,0.03994845360824742,0.34519572953736655,0.6298416256904602
49,0.03994845360824742,0.3487544483985765,0.6286013126373291
50,0.041237113402061855,0.3487544483985765,0.6247368454933167
51,0.041237113402061855,0.3736654804270463,0.6146891713142395
52,0.04252577319587629,0.3736654804270463,0.6140558123588562
53,0.04252577319587629,0.37722419928825623,0.6138691306114197
54,0.04381443298969072,0.37722419928825623,0.6130194067955017
55,0.04381443298969072,0.3807829181494662,0.612425684928894
