,threshold,precision,recall,f1
156,0.018055437,1.0,0.0,0.0
157,0.018165711,1.0,0.0,0.0
158,0.018432964,1.0,0.0,0.0
159,0.018632518,1.0,0.0,0.0
160,0.018713705,1.0,0.0,0.0
161,0.018952366,1.0,0.0,0.0
162,0.019142682,1.0,0.0,0.0
163,0.019246645,1.0,0.0,0.0
164,0.019485652,1.0,0.0,0.0
165,0.019636797,1.0,0.0,0.0
166,0.01965393,1.0,0.0,0.0
167,0.019798342,1.0,0.0,0.0
168,0.0198792,1.0,0.0,0.0
169,0.01994022,1.0,0.0,0.0
170,0.020049306,1.0,0.0,0.0
171,0.020054163,1.0,0.0,0.0
172,0.020155251,1.0,0.0,0.0
173,0.020307992,1.0,0.0,0.0
174,0.02032339,1.0,0.0,0.0
175,0.020722363,1.0,0.0,0.0
176,0.02073084,1.0,0.0,0.0
177,0.020831011,1.0,0.0,0.0
178,0.021166429,1.0,0.0,0.0
179,0.021369053,1.0,0.0,0.0
180,0.021380793,1.0,0.0,0.0
181,0.021712126,1.0,0.0,0.0
182,0.021761496,1.0,0.0,0.0
183,0.02178839,1.0,0.0,0.0
184,0.021792589,1.0,0.0,0.0
185,0.021865612,1.0,0.0,0.0
186,0.021921875,1.0,0.0,0.0
187,0.022030436,1.0,0.0,0.0
188,0.022051413,1.0,0.0,0.0
189,0.02213805,1.0,0.0,0.0
190,0.022181917,1.0,0.0,0.0
191,0.022510659,1.0,0.0,0.0
192,0.023192748,1.0,0.0,0.0
193,0.023282614,1.0,0.0,0.0
194,0.023377553,1.0,0.0,0.0
195,0.02344129,1.0,0.0,0.0
196,0.023645937,1.0,0.0,0.0
197,0.023765543,1.0,0.0,0.0
198,0.02389607,1.0,0.0,0.0
199,0.0243485,1.0,0.0,0.0
200,0.024794031,1.0,0.0,0.0
201,0.024847794,1.0,0.0,0.0
202,0.025458658,1.0,0.0,0.0
203,0.02564886,1.0,0.0,0.0
204,0.025664924,1.0,0.0,0.0
205,0.025815066,1.0,0.0,0.0
206,0.02605778,1.0,0.0,0.0
207,0.026392821,1.0,0.0,0.0
208,0.026495518,1.0,0.0,0.0
209,0.027081901,1.0,0.0,0.0
210,0.027201824,1.0,0.0,0.0
211,0.027214918,1.0,0.0,0.0
212,0.027379854,1.0,0.0,0.0
213,0.027646199,1.0,0.0,0.0
214,0.028486097,1.0,0.0,0.0
215,0.02864592,1.0,0.0,0.0
216,0.02874658,1.0,0.0,0.0
217,0.028817812,1.0,0.0,0.0
218,0.029052688,1.0,0.0,0.0
219,0.029853731,1.0,0.0,0.0
220,0.029984752,1.0,0.0,0.0
221,0.030020498,1.0,0.0,0.0
222,0.030153653,1.0,0.0,0.0
223,0.030183215,1.0,0.0,0.0
224,0.030275473,1.0,0.0,0.0
225,0.030448502,1.0,0.0,0.0
226,0.030712381,1.0,0.0,0.0
227,0.030922137,1.0,0.0,0.0
228,0.031084664,1.0,0.0,0.0
229,0.031125648,1.0,0.0,0.0
230,0.031384554,1.0,0.0,0.0
231,0.031583495,1.0,0.0,0.0
232,0.032171883,1.0,0.0,0.0
233,0.032357216,1.0,0.0,0.0
234,0.032622483,1.0,0.0,0.0
235,0.032776255,1.0,0.0,0.0
236,0.032812584,1.0,0.0,0.0
237,0.033089273,1.0,0.0,0.0
238,0.03321654,1.0,0.0,0.0
239,0.033283044,1.0,0.0,0.0
240,0.03352956,1.0,0.0,0.0
241,0.033552207,1.0,0.0,0.0
242,0.03388399,1.0,0.0,0.0
243,0.03395863,1.0,0.0,0.0
244,0.03403334,1.0,0.0,0.0
245,0.034038644,1.0,0.0,0.0
246,0.03417692,1.0,0.0,0.0
247,0.034226242,1.0,0.0,0.0
248,0.03461202,1.0,0.0,0.0
249,0.0351124,1.0,0.0,0.0
250,0.03520183,1.0,0.0,0.0
251,0.035206202,1.0,0.0,0.0
252,0.035535138,1.0,0.0,0.0
253,0.035576813,1.0,0.0,0.0
254,0.035819326,1.0,0.0,0.0
255,0.035942078,1.0,0.0,0.0
256,0.03616436,1.0,0.0,0.0
257,0.036281835,1.0,0.0,0.0
258,0.03650974,1.0,0.0,0.0
259,0.036890283,1.0,0.0,0.0
260,0.036901142,1.0,0.0,0.0
261,0.03710266,1.0,0.0,0.0
262,0.037309516,1.0,0.0,0.0
263,0.03745051,1.0,0.0,0.0
264,0.037844937,1.0,0.0,0.0
265,0.03786186,1.0,0.0,0.0
266,0.038023893,1.0,0.0,0.0
267,0.038082175,1.0,0.0,0.0
268,0.038142484,1.0,0.0,0.0
269,0.038251612,1.0,0.0,0.0
270,0.038587954,1.0,0.0,0.0
271,0.03910747,1.0,0.0,0.0
272,0.03943199,1.0,0.0,0.0
273,0.039478503,1.0,0.0,0.0
274,0.03956671,1.0,0.0,0.0
275,0.04006939,1.0,0.0,0.0
276,0.040403772,1.0,0.0,0.0
277,0.04059408,1.0,0.0,0.0
278,0.040605564,1.0,0.0,0.0
279,0.040657155,1.0,0.0,0.0
280,0.040696707,1.0,0.0,0.0
281,0.04099107,1.0,0.0,0.0
282,0.041011937,1.0,0.0,0.0
283,0.04216147,1.0,0.0,0.0
284,0.04259141,1.0,0.0,0.0
285,0.042721543,1.0,0.0,0.0
286,0.04292309,1.0,0.0,0.0
287,0.04305607,1.0,0.0,0.0
288,0.043199435,1.0,0.0,0.0
289,0.043399923,1.0,0.0,0.0
290,0.043442763,1.0,0.0,0.0
291,0.043705568,1.0,0.0,0.0
292,0.043886166,1.0,0.0,0.0
293,0.044069935,1.0,0.0,0.0
294,0.04449587,1.0,0.0,0.0
295,0.044521905,1.0,0.0,0.0
296,0.04477203,1.0,0.0,0.0
297,0.04534069,1.0,0.0,0.0
298,0.045344293,1.0,0.0,0.0
299,0.045530677,1.0,0.0,0.0
300,0.0456441,1.0,0.0,0.0
301,0.04614724,1.0,0.0,0.0
302,0.046636187,1.0,0.0,0.0
303,0.04664618,1.0,0.0,0.0
304,0.046756443,1.0,0.0,0.0
305,0.04767577,1.0,0.0,0.0
306,0.048162065,1.0,0.0,0.0
307,0.048399974,1.0,0.0,0.0
308,0.04853789,1.0,0.0,0.0
309,0.048898622,1.0,0.0,0.0
310,0.04895786,1.0,0.0,0.0
311,0.0490018,1.0,0.0,0.0
312,0.049090125,1.0,0.0,0.0
313,0.04920277,1.0,0.0,0.0
314,0.04920431,1.0,0.0,0.0
315,0.04937086,1.0,0.0,0.0
316,0.05013033,1.0,0.0,0.0
317,0.050469548,1.0,0.0,0.0
318,0.050477214,1.0,0.0,0.0
319,0.050704278,1.0,0.0,0.0
320,0.051469658,1.0,0.0,0.0
321,0.05212839,1.0,0.0,0.0
322,0.05225744,1.0,0.0,0.0
323,0.05335631,1.0,0.0,0.0
324,0.053928986,1.0,0.0,0.0
325,0.0540609,1.0,0.0,0.0
326,0.054089777,1.0,0.0,0.0
327,0.054592077,1.0,0.0,0.0
328,0.05476631,1.0,0.0,0.0
329,0.05488614,1.0,0.0,0.0
330,0.055043533,1.0,0.0,0.0
331,0.05535709,1.0,0.0,0.0
332,0.056670815,1.0,0.0,0.0
333,0.057209894,1.0,0.0,0.0
334,0.05739112,1.0,0.0,0.0
335,0.057768434,1.0,0.0,0.0
336,0.058057465,1.0,0.0,0.0
337,0.05808564,1.0,0.0,0.0
338,0.058281098,1.0,0.0,0.0
339,0.058411434,1.0,0.0,0.0
340,0.059152238,1.0,0.0,0.0
341,0.059545457,1.0,0.0,0.0
342,0.059656087,1.0,0.0,0.0
343,0.059834328,1.0,0.0,0.0
344,0.059870098,1.0,0.0,0.0
345,0.061370336,1.0,0.0,0.0
346,0.061476953,1.0,0.0,0.0
347,0.06205548,1.0,0.0,0.0
348,0.06213632,1.0,0.0,0.0
349,0.062238894,1.0,0.0,0.0
350,0.0623564,1.0,0.0,0.0
351,0.063536786,1.0,0.0,0.0
352,0.06363654,1.0,0.0,0.0
353,0.063682035,1.0,0.0,0.0
354,0.06398357,1.0,0.0,0.0
355,0.06419914,1.0,0.0,0.0
356,0.06548343,1.0,0.0,0.0
357,0.06587753,1.0,0.0,0.0
358,0.06613917,1.0,0.0,0.0
359,0.066349186,1.0,0.0,0.0
360,0.06734579,1.0,0.0,0.0
361,0.06759108,1.0,0.0,0.0
362,0.06808767,1.0,0.0,0.0
363,0.06820545,1.0,0.0,0.0
364,0.06891318,1.0,0.0,0.0
365,0.06894553,1.0,0.0,0.0
366,0.06896121,1.0,0.0,0.0
367,0.0692794,1.0,0.0,0.0
368,0.06942693,1.0,0.0,0.0
369,0.07020778,1.0,0.0,0.0
370,0.07121154,1.0,0.0,0.0
371,0.07239332,1.0,0.0,0.0
372,0.07308081,1.0,0.0,0.0
373,0.07337594,1.0,0.0,0.0
374,0.07345838,1.0,0.0,0.0
375,0.0736765,1.0,0.0,0.0
376,0.0736916,1.0,0.0,0.0
377,0.07405698,1.0,0.0,0.0
378,0.074392736,1.0,0.0,0.0
379,0.07440144,1.0,0.0,0.0
380,0.07502318,1.0,0.0,0.0
381,0.07552021,1.0,0.0,0.0
382,0.07572589,1.0,0.0,0.0
383,0.07699944,1.0,0.0,0.0
384,0.07701417,1.0,0.0,0.0
385,0.07848261,1.0,0.0,0.0
386,0.07924803,1.0,0.0,0.0
387,0.07999284,1.0,0.0,0.0
388,0.08080911,1.0,0.0,0.0
389,0.081217885,1.0,0.0,0.0
390,0.08264859,1.0,0.0,0.0
391,0.08299918,1.0,0.0,0.0
392,0.083387166,1.0,0.0,0.0
393,0.08351244,1.0,0.0,0.0
394,0.08405674,1.0,0.0,0.0
395,0.08478166,1.0,0.0,0.0
396,0.08512358,1.0,0.0,0.0
397,0.08599056,1.0,0.0,0.0
398,0.08637108,1.0,0.0,0.0
399,0.08787191,1.0,0.0,0.0
400,0.08787467,1.0,0.0,0.0
401,0.088005595,1.0,0.0,0.0
402,0.0883009,1.0,0.0,0.0
403,0.08836949,1.0,0.0,0.0
404,0.089110576,1.0,0.0,0.0
405,0.08925057,1.0,0.0,0.0
406,0.09138874,1.0,0.0,0.0
407,0.09149293,1.0,0.0,0.0
408,0.09170949,1.0,0.0,0.0
409,0.09174514,1.0,0.0,0.0
410,0.09257123,1.0,0.0,0.0
411,0.09281861,1.0,0.0,0.0
412,0.093196176,1.0,0.0,0.0
413,0.093703754,1.0,0.0,0.0
414,0.09420293,1.0,0.0,0.0
415,0.09435122,1.0,0.0,0.0
416,0.094704576,1.0,0.0,0.0
417,0.09489211,1.0,0.0,0.0
418,0.095415026,1.0,0.0,0.0
419,0.0956333,1.0,0.0,0.0
420,0.096155025,1.0,0.0,0.0
421,0.0967769,1.0,0.0,0.0
422,0.09723956,1.0,0.0,0.0
423,0.09781575,1.0,0.0,0.0
424,0.09798691,1.0,0.0,0.0
425,0.09878823,1.0,0.0,0.0
426,0.09878985,1.0,0.0,0.0
427,0.10018314,1.0,0.0,0.0
428,0.10075698,1.0,0.0,0.0
429,0.10090746,1.0,0.0,0.0
430,0.101305865,1.0,0.0,0.0
431,0.101431966,1.0,0.0,0.0
432,0.10304549,1.0,0.0,0.0
433,0.103159636,1.0,0.0,0.0
434,0.103512056,1.0,0.0,0.0
435,0.10357995,1.0,0.0,0.0
436,0.10524097,1.0,0.0,0.0
437,0.10618723,1.0,0.0,0.0
438,0.106306076,1.0,0.0,0.0
439,0.1074041,1.0,0.0,0.0
440,0.107856795,1.0,0.0,0.0
441,0.108068824,1.0,0.0,0.0
442,0.10847727,1.0,0.0,0.0
443,0.10899767,1.0,0.0,0.0
444,0.109472476,1.0,0.0,0.0
445,0.11048985,1.0,0.0,0.0
446,0.11114048,1.0,0.0,0.0
447,0.11178267,1.0,0.0,0.0
448,0.11219982,1.0,0.0,0.0
